Gemeindename;PLZ
Aeschi bei Spiez;3711
Frutigen;3714
Frutigen;3724
Frutigen;3725
Kandergrund;3716
Kandergrund;3717
Kandersteg;3718
Krattigen;3704
Reichenbach im Kandertal;3711
Reichenbach im Kandertal;3713
Reichenbach im Kandertal;3714
Reichenbach im Kandertal;3722
Reichenbach im Kandertal;3723
Beatenberg;3800
Beatenberg;3803
Bönigen;3806
Brienz (BE);3855
Brienz (BE);3855
Brienzwiler;3856
Därligen;3707
Grindelwald;3816
Grindelwald;3818
Gsteigwiler;3814
Gündlischwand;3800
Gündlischwand;3815
Gündlischwand;3815
Habkern;3804
Hofstetten bei Brienz;3858
Interlaken;3800
Iseltwald;3807
Lauterbrunnen;3822
Lauterbrunnen;3822
Lauterbrunnen;3823
Lauterbrunnen;3823
Lauterbrunnen;3823
Lauterbrunnen;3824
Lauterbrunnen;3825
Lauterbrunnen;3826
Leissigen;3706
Lütschental;3816
Matten bei Interlaken;3800
Niederried bei Interlaken;3853
Oberried am Brienzersee;3854
Ringgenberg (BE);3805
Ringgenberg (BE);3852
Saxeten;3813
Schwanden bei Brienz;3855
Unterseen;3800
Wilderswil;3812
Arni (BE);3508
Biglen;3507
Bowil;3533
Brenzikofen;3671
Freimettigen;3510
Grosshöchstetten;3082
Grosshöchstetten;3506
Häutligen;3510
Herbligen;3671
Kiesen;3629
Konolfingen;3503
Konolfingen;3510
Landiswil;3434
Landiswil;3434
Linden;3673
Mirchel;3532
Münsingen;3083
Münsingen;3110
Münsingen;3111
Niederhünigen;3504
Oberdiessbach;3672
Oberdiessbach;3672
Oberdiessbach;3674
Oberthal;3531
Oppligen;3629
Rubigen;3113
Walkringen;3512
Walkringen;3513
Worb;3075
Worb;3075
Worb;3076
Worb;3077
Worb;3078
Zäziwil;3532
Oberhünigen;3504
Allmendingen;3112
Wichtrach;3114
Clavaleyres;1595
Ferenbalm;3206
Ferenbalm;3206
Ferenbalm;3206
Ferenbalm;3206
Frauenkappelen;3202
Golaten;3207
Gurbrü;3208
Kriechenwil;3179
Laupen;3177
Mühleberg;3203
Mühleberg;3204
Mühleberg;3205
Münchenwiler;1797
Neuenegg;3176
Wileroltigen;3207
Belprahon;2744
Champoz;2735
Corcelles (BE);2747
Court;2738
Crémines;2746
Eschert;2743
Grandval;2745
Loveresse;2732
Moutier;2740
Perrefitte;2742
Reconvilier;2732
Roches (BE);2762
Saicourt;2712
Saicourt;2713
Saicourt;2732
Saules (BE);2732
Schelten;2827
Seehof;2747
Sorvilier;2736
Tavannes;2710
Tavannes;2720
Rebévelier;2717
Petit-Val;2715
Petit-Val;2715
Petit-Val;2716
Petit-Val;2717
Petit-Val;2748
Petit-Val;2748
Valbirse;2733
Valbirse;2735
Valbirse;2735
La Neuveville;2520
Nods;2518
Plateau de Diesse;2515
Plateau de Diesse;2516
Plateau de Diesse;2517
Aegerten;2558
Bellmund;2564
Brügg;2555
Bühl;3274
Epsach;3272
Hagneck;2575
Hermrigen;3274
Jens;2565
Ipsach;2563
Ligerz;2514
Merzligen;3274
Mörigen;2572
Nidau;2560
Orpund;2552
Port;2562
Safnern;2553
Scheuren;2556
Schwadernau;2556
Studen (BE);2557
Sutz-Lattrigen;2572
Täuffelen;2575
Täuffelen;2575
Walperswil;3272
Worben;3252
Twann-Tüscherz;2512
Twann-Tüscherz;2513
Därstetten;3763
Därstetten;3764
Diemtigen;3753
Diemtigen;3754
Diemtigen;3755
Diemtigen;3756
Diemtigen;3757
Erlenbach im Simmental;3758
Erlenbach im Simmental;3762
Oberwil im Simmental;3765
Reutigen;3647
Spiez;3645
Spiez;3646
Spiez;3700
Spiez;3702
Spiez;3705
Wimmis;3752
Stocken-Höfen;3631
Stocken-Höfen;3632
Stocken-Höfen;3632
Guttannen;3864
Hasliberg;6083
Hasliberg;6084
Hasliberg;6085
Hasliberg;6086
Innertkirchen;3862
Innertkirchen;3863
Meiringen;3857
Meiringen;3860
Meiringen;3860
Schattenhalb;3860
Schattenhalb;3860
Boltigen;3766
Lenk;3775
St. Stephan;3772
St. Stephan;3773
Zweisimmen;3770
Zweisimmen;3771
Zweisimmen;3776
Gsteig;3784
Gsteig;3785
Lauenen;3782
Saanen;1657
Saanen;3777
Saanen;3778
Saanen;3780
Saanen;3781
Saanen;3783
Saanen;3792
Guggisberg;1738
Guggisberg;3156
Guggisberg;3158
Guggisberg;3159
Rüschegg;3153
Rüschegg;3154
Schwarzenburg;3148
Schwarzenburg;3150
Schwarzenburg;3152
Schwarzenburg;3157
Schwarzenburg;3183
Belp;3123
Belp;3124
Burgistein;3664
Gerzensee;3115
Gurzelen;3663
Jaberg;3629
Kaufdorf;3126
Kehrsatz;3122
Kirchdorf (BE);3116
Kirchdorf (BE);3116
Kirchdorf (BE);3116
Kirchdorf (BE);3126
Kirchenthurnen;3128
Lohnstorf;3127
Mühlethurnen;3127
Niedermuhlern;3087
Riggisberg;3099
Riggisberg;3132
Rüeggisberg;3088
Rüeggisberg;3088
Rüeggisberg;3089
Rüeggisberg;3155
Rümligen;3128
Seftigen;3662
Toffen;3125
Uttigen;3628
Wattenwil;3665
Wald (BE);3086
Wald (BE);3086
Eggiwil;3536
Eggiwil;3537
Langnau im Emmental;3550
Langnau im Emmental;3551
Langnau im Emmental;3552
Langnau im Emmental;3553
Lauperswil;3438
Lauperswil;3543
Röthenbach im Emmental;3538
Rüderswil;3433
Rüderswil;3436
Rüderswil;3437
Schangnau;6197
Signau;3534
Signau;3535
Trub;3556
Trub;3557
Trubschachen;3555
Amsoldingen;3633
Blumenstein;3638
Buchholterberg;3615
Eriz;3619
Eriz;3619
Fahrni;3617
Heiligenschwendi;3625
Heimberg;3627
Hilterfingen;3626
Hilterfingen;3652
Homberg;3622
Horrenbach-Buchen;3623
Horrenbach-Buchen;3623
Oberhofen am Thunersee;3653
Pohlern;3638
Schwendibach;3624
Sigriswil;3654
Sigriswil;3655
Sigriswil;3656
Sigriswil;3656
Sigriswil;3656
Sigriswil;3657
Sigriswil;3658
Steffisburg;3612
Steffisburg;3613
Teuffenthal (BE);3623
Thierachern;3634
Thun;3600
Thun;3603
Thun;3604
Thun;3608
Thun;3624
Uebeschi;3635
Uetendorf;3661
Unterlangenegg;3614
Unterlangenegg;3616
Wachseldorn;3618
Zwieselberg;3645
Forst-Längenbühl;3636
Forst-Längenbühl;3636
Affoltern im Emmental;3416
Affoltern im Emmental;3462
Affoltern im Emmental;3463
Dürrenroth;3465
Eriswil;4952
Huttwil;4950
Huttwil;4953
Lützelflüh;3432
Lützelflüh;3435
Lützelflüh;3439
Lützelflüh;3452
Rüegsau;3415
Rüegsau;3417
Rüegsau;3418
Sumiswald;3454
Sumiswald;3455
Sumiswald;3457
Trachselwald;3453
Trachselwald;3456
Walterswil (BE);3464
Walterswil (BE);4942
Wyssachen;4954
Attiswil;4536
Berken;3376
Bettenhausen;3366
Bettenhausen;3366
Farnern;4539
Graben;3376
Heimenhausen;3372
Heimenhausen;3373
Heimenhausen;3373
Herzogenbuchsee;3360
Herzogenbuchsee;3363
Inkwil;3375
Niederbipp;4704
Niederönz;3362
Oberbipp;4538
Ochlenberg;3367
Ochlenberg;3476
Rumisberg;4539
Seeberg;3365
Seeberg;3365
Seeberg;3475
Seeberg;3475
Thörigen;3367
Walliswil bei Niederbipp;3380
Walliswil bei Wangen;3377
Wangen an der Aare;3380
Wangenried;3374
Wiedlisbach;4537
Wolfisberg;4704
Doppleschwand;6112
Entlebuch;6162
Entlebuch;6162
Entlebuch;6162
Entlebuch;6163
Flühli;6173
Flühli;6174
Hasle (LU);6166
Romoos;6110
Romoos;6113
Romoos;6167
Schüpfheim;6170
Werthenstein;6105
Werthenstein;6106
Escholzmatt-Marbach;6182
Escholzmatt-Marbach;6192
Escholzmatt-Marbach;6196
Aesch (LU);6287
Altwis;6286
Ballwil;6275
Emmen;6020
Emmen;6032
Ermensee;6294
Eschenbach (LU);6274
Hitzkirch;6284
Hitzkirch;6284
Hitzkirch;6285
Hitzkirch;6285
Hitzkirch;6289
Hitzkirch;6289
Hitzkirch;6289
Hitzkirch;6295
Hochdorf;6280
Hochdorf;6280
Hochdorf;6283
Hohenrain;6276
Hohenrain;6277
Hohenrain;6277
Inwil;6034
Rain;6026
Römerswil;6027
Römerswil;6028
Rothenburg;6023
Schongau;6288
Adligenswil;6043
Buchrain;6033
Buchrain;6035
Dierikon;6036
Ebikon;6030
Gisikon;6038
Greppen;6404
Honau;6038
Horw;6005
Horw;6047
Horw;6048
Kriens;6010
Kriens;6012
Luzern;6003
Luzern;6004
Luzern;6005
Luzern;6006
Luzern;6014
Luzern;6015
Malters;6102
Meggen;6045
Meierskappel;6344
Root;6037
Root;6039
Schwarzenberg;6013
Schwarzenberg;6103
Udligenswil;6044
Vitznau;6354
Weggis;6353
Weggis;6356
Beromünster;6025
Beromünster;6215
Beromünster;6215
Beromünster;6222
Büron;6233
Buttisholz;6018
Eich;6205
Geuensee;6232
Grosswangen;6022
Hildisrieden;6024
Knutwil;6212
Knutwil;6213
Mauensee;6212
Mauensee;6216
Neuenkirch;6016
Neuenkirch;6203
Neuenkirch;6206
Nottwil;6207
Oberkirch;6208
Rickenbach (LU);5735
Rickenbach (LU);6221
Ruswil;6017
Ruswil;6019
Schenkon;6214
Schlierbach;6231
Sempach;6204
Sursee;6210
Triengen;6234
Triengen;6234
Triengen;6235
Triengen;6236
Wolhusen;6110
Wolhusen;6114
Alberswil;6248
Altbüron;6147
Altishofen;6246
Dagmersellen;6211
Dagmersellen;6252
Dagmersellen;6253
Ebersecken;6245
Egolzwil;6243
Ettiswil;6217
Ettiswil;6218
Fischbach;6145
Gettnau;6142
Grossdietwil;6146
Hergiswil bei Willisau;6133
Luthern;6154
Luthern;6156
Luthern;6156
Menznau;6122
Menznau;6123
Menznau;6125
Nebikon;6244
Pfaffnau;4915
Pfaffnau;6264
Reiden;6260
Reiden;6260
Reiden;6260
Reiden;6262
Reiden;6263
Roggliswil;6265
Schötz;6143
Schötz;6247
Ufhusen;6153
Wauwil;6242
Wikon;4806
Wikon;6260
Zell (LU);6144
Zell (LU);6152
Willisau;6126
Willisau;6130
Willisau;6132
Altdorf (UR);6460
Andermatt;6490
Attinghausen;6468
Bauen;6466
Bürglen (UR);6463
Erstfeld;6472
Flüelen;6454
Göschenen;6487
Gurtnellen;6476
Gurtnellen;6482
Hospental;6493
Isenthal;6461
Realp;6491
Schattdorf;6467
Schattdorf;6469
Seedorf (UR);6462
Seelisberg;6377
Seelisberg;6441
Silenen;6473
Silenen;6474
Silenen;6475
Sisikon;6452
Spiringen;6464
Spiringen;8751
Unterschächen;6465
Wassen;6484
Wassen;6485
Einsiedeln;8836
Einsiedeln;8840
Einsiedeln;8840
Einsiedeln;8841
Einsiedeln;8844
Einsiedeln;8846
Einsiedeln;8847
Gersau;6410
Gersau;6442
Feusisberg;8834
Feusisberg;8835
Freienbach;8640
Freienbach;8806
Freienbach;8807
Freienbach;8808
Freienbach;8832
Freienbach;8832
Wollerau;8832
Küssnacht (SZ);6402
Küssnacht (SZ);6403
Küssnacht (SZ);6405
Altendorf;8852
Galgenen;8854
Innerthal;8858
Lachen;8853
Reichenburg;8864
Schübelbach;8854
Schübelbach;8862
Schübelbach;8863
Tuggen;8856
Vorderthal;8857
Wangen (SZ);8855
Alpthal;8849
Arth;6410
Arth;6410
Arth;6410
Arth;6410
Arth;6414
Arth;6415
Illgau;6434
Ingenbohl;6440
Lauerz;6424
Morschach;6433
Morschach;6443
Muotathal;6436
Muotathal;6436
Muotathal;6436
Oberiberg;8843
Riemenstalden;6452
Rothenthurm;6418
Sattel;6417
Schwyz;6423
Schwyz;6430
Schwyz;6432
Schwyz;6438
Steinen;6422
Steinerberg;6416
Unteriberg;8842
Unteriberg;8845
Alpnach;6010
Alpnach;6053
Alpnach;6055
Engelberg;6388
Engelberg;6390
Giswil;6074
Kerns;6064
Kerns;6066
Kerns;6067
Kerns;6068
Lungern;6078
Lungern;6078
Sachseln;6072
Sachseln;6073
Sarnen;6056
Sarnen;6060
Sarnen;6060
Sarnen;6062
Sarnen;6063
Beckenried;6375
Buochs;6374
Dallenwil;6383
Dallenwil;6383
Dallenwil;6383
Emmetten;6376
Ennetbürgen;6363
Ennetbürgen;6373
Ennetmoos;6372
Hergiswil (NW);6052
Oberdorf (NW);6370
Oberdorf (NW);6382
Oberdorf (NW);6383
Stans;6370
Stansstad;6362
Stansstad;6363
Stansstad;6363
Stansstad;6365
Wolfenschiessen;6386
Wolfenschiessen;6387
Glarus Nord;8752
Glarus Nord;8753
Glarus Nord;8757
Glarus Nord;8758
Glarus Nord;8865
Glarus Nord;8867
Glarus Nord;8868
Glarus Nord;8874
Glarus Süd;8756
Glarus Süd;8762
Glarus Süd;8762
Glarus Süd;8762
Glarus Süd;8765
Glarus Süd;8766
Glarus Süd;8767
Glarus Süd;8772
Glarus Süd;8773
Glarus Süd;8774
Glarus Süd;8775
Glarus Süd;8775
Glarus Süd;8777
Glarus Süd;8777
Glarus Süd;8782
Glarus Süd;8783
Glarus Süd;8784
Glarus;8750
Glarus;8750
Glarus;8750
Glarus;8754
Glarus;8755
Baar;6319
Baar;6340
Cham;6330
Cham;6332
Hünenberg;6331
Hünenberg;6333
Menzingen;6313
Menzingen;6313
Menzingen;6313
Neuheim;6340
Neuheim;6345
Oberägeri;6315
Oberägeri;6315
Oberägeri;6315
Risch;6343
Risch;6343
Risch;6343
Risch;6343
Steinhausen;6312
Unterägeri;6314
Unterägeri;6314
Walchwil;6318
Zug;6300
Zug;6300
Zug;6317
Châtillon (FR);1473
Cheiry;1529
Cheiry;1534
Cugy (FR);1482
Cugy (FR);1483
Fétigny;1532
Gletterens;1544
Lully (FR);1470
Lully (FR);1470
Lully (FR);1470
Ménières;1533
Montagny (FR);1774
Montagny (FR);1774
Montagny (FR);1774
Montagny (FR);1775
Montagny (FR);1775
Montagny (FR);1776
Nuvilly;1485
Prévondavaux;1410
Saint-Aubin (FR);1566
Saint-Aubin (FR);1566
Sévaz;1541
Surpierre;1527
Surpierre;1528
Surpierre;1528
Vallon;1565
Les Montets;1483
Les Montets;1483
Les Montets;1484
Les Montets;1484
Delley-Portalban;1567
Delley-Portalban;1568
Belmont-Broye;1563
Belmont-Broye;1564
Belmont-Broye;1773
Belmont-Broye;1773
Belmont-Broye;1773
Estavayer;1470
Estavayer;1473
Estavayer;1475
Estavayer;1475
Estavayer;1475
Estavayer;1486
Estavayer;1489
Estavayer;1541
Estavayer;1541
Estavayer;1542
Cheyres-Châbles;1468
Cheyres-Châbles;1474
Auboranges;1673
Billens-Hennens;1681
Billens-Hennens;1681
Chapelle (Glâne);1608
Le Châtelard;1689
Châtonnaye;1553
Ecublens (FR);1673
Grangettes;1686
Massonnens;1692
Mézières (FR);1680
Mézières (FR);1684
Montet (Glâne);1674
Romont (FR);1680
Rue;1673
Rue;1673
Rue;1673
Rue;1675
Siviriez;1676
Siviriez;1677
Siviriez;1678
Siviriez;1679
Ursy;1670
Ursy;1670
Ursy;1670
Ursy;1674
Ursy;1674
Ursy;1675
Ursy;1675
Villaz-Saint-Pierre;1690
Vuisternens-devant-Romont;1685
Vuisternens-devant-Romont;1686
Vuisternens-devant-Romont;1687
Vuisternens-devant-Romont;1687
Vuisternens-devant-Romont;1687
Vuisternens-devant-Romont;1688
Vuisternens-devant-Romont;1688
Vuisternens-devant-Romont;1697
Vuisternens-devant-Romont;1697
Villorsonnens;1694
Villorsonnens;1694
Villorsonnens;1694
Villorsonnens;1694
Torny;1748
Torny;1749
La Folliaz;1690
La Folliaz;1691
Haut-Intyamon;1669
Haut-Intyamon;1669
Haut-Intyamon;1669
Haut-Intyamon;1669
Haut-Intyamon;1669
Pont-en-Ogoz;1643
Pont-en-Ogoz;1644
Pont-en-Ogoz;1645
Botterens;1652
Botterens;1652
Broc;1636
Bulle;1630
Bulle;1635
Châtel-sur-Montsalvens;1653
Corbières;1647
Corbières;1651
Crésuz;1653
Echarlens;1646
Grandvillard;1666
Gruyères;1663
Gruyères;1663
Gruyères;1663
Gruyères;1663
Hauteville;1648
Jaun;1656
Jaun;1656
Marsens;1633
Marsens;1633
Morlon;1638
Le Pâquier (FR);1661
Pont-la-Ville;1649
Riaz;1632
La Roche;1634
Sâles;1625
Sâles;1625
Sâles;1626
Sâles;1626
Sâles;1626
Sorens;1642
Vaulruz;1627
Vuadens;1628
Bas-Intyamon;1665
Bas-Intyamon;1666
Bas-Intyamon;1667
Val-de-Charmey;1637
Val-de-Charmey;1654
Arconciel;1732
Autigny;1742
Avry;1754
Avry;1754
Avry;1754
Belfaux;1782
Belfaux;1782
Chénens;1744
Corminboeuf;1720
Corminboeuf;1720
Corserey;1747
Cottens (FR);1741
Ependes (FR);1731
Ferpicloz;1724
Fribourg;1700
Fribourg;1722
Givisiez;1762
Granges-Paccot;1763
Grolley;1772
Marly;1723
Matran;1753
Neyruz (FR);1740
Noréaz;1757
Pierrafortscha;1723
Ponthaux;1772
Ponthaux;1772
Le Mouret;1724
Le Mouret;1724
Le Mouret;1724
Le Mouret;1724
Le Mouret;1724
Le Mouret;1724
Prez-vers-Noréaz;1746
Senèdes;1724
Treyvaux;1733
Villars-sur-Glâne;1752
Villarsel-sur-Marly;1723
Hauterive (FR);1725
Hauterive (FR);1730
La Brillaz;1745
La Brillaz;1756
La Brillaz;1756
La Sonnaz;1782
La Sonnaz;1782
La Sonnaz;1782
La Sonnaz;1782
Gibloux;1695
